Address,City,State,Zip_code,LAT,LON
195 North Lake Havasu Avenue,Lake Havasu City,AZ,86403,34.47963124,-114.3479987
5145 W. Baseline Road,Laveen,AZ,85339,33.37738537,-112.1705163
13006 W Indian School Road,Litchfield Park,AZ,85340,33.49343837,-112.3397573
21566 N. John Wayne Parkway,Maricopa,AZ,85139,33.07480739,-112.0432429
10720 E Baseline Road,Mesa,AZ,85209,33.37909032,-111.6028926
1950 W Baseline Rd,Mesa,AZ,85202,33.37868806,-111.8758994
2210 E Baseline Rd,Mesa,AZ,85204,33.37913696,-111.7853314
2757 E Main St,Mesa,AZ,85213,33.41531917,-111.7715269
420 North Alma School Rd,Mesa,AZ,85201,33.42330408,-111.856583
360 W. Mariposa Road,Nogales,AZ,85621,31.36638892,-110.9370964
6765 W Peoria Ave,Peoria,AZ,85345,33.58151639,-112.205648
7541 W Thunderbird Road,Peoria,AZ,85381,33.61013629,-112.2212382
9251 W Union Hills Dr,Peoria,AZ,85382,33.65252732,-112.2575515
1525 N 43rd Ave,Phoenix,AZ,85009,33.46499883,-112.1516908
1749 W. Bethany Home Rd,Phoenix,AZ,85015,33.52393435,-112.0977173
1843 West Union Hills Dr,Phoenix,AZ,85027,33.65458327,-112.0990208
20 E Baseline Road,Phoenix,AZ,85042,33.37787033,-112.0726017
2902 N 7th Ave,Phoenix,AZ,85013,33.48070548,-112.0831318
3550 W Thunderbird Rd,Phoenix,AZ,85053,33.61095518,-112.1353609
3702 E Thomas Rd,Phoenix,AZ,85018,33.48050454,-112.0015479
4050 East Bell Road,Phoenix,AZ,85032,33.64081277,-111.9937071
7634 W Indian School Rd,Phoenix,AZ,85033,33.49467896,-112.2245335
7860 E. Highway 69,Prescott Valley,AZ,86314,34.58564047,-112.3295082
547 Miller Valley Road,Prescott,AZ,86301,34.55045424,-112.4788939
57 W. Combs Road,Queen Creek,AZ,85140,33.21987107,-111.5642979
1817 Thatcher Boulevard,Safford,AZ,85546,32.83519084,-109.730842
8050 E Indian School Rd,Scottsdale,AZ,85251,33.4949678,-111.9066546
180 N. White Mountain Road,Show Low,AZ,85901,34.25155374,-110.0287249
1060 Fry Boulevard,Sierra Vista,AZ,85635,31.55454863,-110.2877491
10661 Grand Avenue,Sun City,AZ,85351,33.60219144,-112.2889456
12621 W Bell Rd,Surprise,AZ,85378,33.63839264,-112.3328428
705 W Baseline Rd,Tempe,AZ,85283,33.37808953,-111.9503664
Maloney And Spur,Tuba City,AZ,86045,36.12347087,-111.2344531
2970 W Valencia Rd,Tucson,AZ,85746,32.13388135,-111.0300246
2985 South Kino Parkway,Tucson,AZ,85713,32.18391879,-110.9435467
7245 E. Golf Links Road,Tucson,AZ,85730,32.19210143,-110.8381849
7901 N. Oracle Hwy,Tucson,AZ,85704,32.34967763,-110.975541
8270 N. Cortaro Road,Tucson,AZ,85743,32.35701157,-111.0918923
800 N. Grand Canyon Boulevard,Williams,AZ,86046,35.25743134,-112.1918256
11183 S. Frontage Drive,Yuma,AZ,85367,32.66900996,-114.4424672
1950 Fourth Avenue,Yuma,AZ,85364,32.69245754,-114.6247478
848 East 32nd Street,Yuma,AZ,85365,32.66950965,-114.6105859
14258 Highway 395,Adelanto,CA,92301,34.51042868,-117.3996858
2424 Encinal Avenue,Alameda,CA,94501,37.76213975,-122.2437653
1425 South New,Alhambra,CA,91801,34.07847465,-118.1083928
5005 E. Willows Road,Alpine,CA,91901,32.84075239,-116.7054164
100 S. Magnolia Ave,Anaheim,CA,92804,33.83211586,-117.9753596
131 W. Ball Rd,Anaheim,CA,92805,33.81820899,-117.9094636
2026 E. Lincoln Ave,Anaheim,CA,92806,33.83964806,-117.8880057
299 S. Euclid St,Anaheim,CA,92802,33.82952988,-117.9416215
8101 Watt Avenue,Antelope,CA,95843,38.71666451,-121.3925037
2751 Hillcrest Avenue,Antioch,CA,94509,37.99316194,-121.7837995
18447 Highway 18,Apple Valley,CA,92307,34.53931111,-117.2616258
849 South Baldwin,Arcadia,CA,91007,34.13033403,-118.0547394
1395 Atwater Boulevard,Atwater,CA,95301,37.34670993,-120.6109346
2400 Grass Valley Highway,Auburn,CA,95603,38.93520277,-121.0930893
806 E Alosta Ave,Azusa,CA,91702,34.12943505,-117.8927578
72922 Baker Blvd,Baker,CA,92309,35.27704658,-116.0567726
11935 Rosedale Hwy,Bakersfield,CA,93312,35.38305886,-119.1368318
2674 Mount Vernon Avenue,Bakersfield,CA,93305,35.39534348,-118.9676457
3011 Brundage Ln,Bakersfield,CA,93304,35.35406049,-119.0379779
6320 White Ln,Bakersfield,CA,93309,35.31830573,-119.0728072
14200 Ramona Blvd,Baldwin Park,CA,91706,34.08536599,-117.9642913
1930 West Ramsey Street,Banning,CA,92220,33.92532543,-116.8980126
5735 Florence,Bell Gardens,CA,90201,33.96785477,-118.1635886
41800 Washington St,Bermuda Dunes,CA,92203,33.74486089,-116.3037101
1006 North Main Street,Bishop,CA,93514,37.37154481,-118.3952799
5080 Bonita Road,Bonita,CA,91902,32.67004689,-117.022319
215 West Main,Brawley,CA,92227,32.97872375,-115.5442555
6371 Lone Tree Way,Brentwood,CA,94513,37.96145791,-121.7349305
7810 Brentwood Boulevard,Brentwood,CA,94513,37.94346206,-121.6960712
6851 Beach Blvd,Buena Park,CA,90621,33.86091594,-117.9982737
3530 W. Victory Blvd,Burbank,CA,91505,34.18466302,-118.3500756
213 East Cole Road,Calexico,CA,92231,32.69412302,-115.4955432
2350 Las Posas Road,Camarillo,CA,93010,34.23532318,-119.0388721
3959 Cameron Park Drive,Cameron Park,CA,95682,38.6609277,-120.9693238
1805 Winchester Road,Campbell,CA,95008,37.29107833,-121.9499844
20101 Sherman Way,Canoga Park,CA,91306,34.2012072,-118.5717988
21930 Sherman Way,Canoga Park,CA,91303,34.20093659,-118.605469
19307 Soledad Canyon Rd,Canyon Country,CA,91351,34.41583164,-118.4729125
2120 41st Avenue,Capitola,CA,95010,36.97923751,-121.964801
745 Carlsbad Village Drive,Carlsbad,CA,92008,33.16040398,-117.346251
18401 S. Avalon Blvd,Carson,CA,90746,33.86259205,-118.2663563
545 East Sepulveda,Carson,CA,90745,33.80835543,-118.265042
619 W Carson Street,Carson,CA,90745,33.8317174,-118.2866974
3625 Castro Valley Blvd,Castro Valley,CA,94546,37.69489261,-122.072071
32120 Date Palm Drive,Cathedral City,CA,92234,33.81389817,-116.4578843
2040 Whitmore Avenue,Ceres,CA,95307,37.59463984,-120.9576078
1980 E. 20th Street,Chico,CA,95928,39.72739226,-121.8029711
4135 Chino Hills Parkway,Chino Hills,CA,91709,33.98250406,-117.7141442
12862 Central Avenue,Chino,CA,91710,34.02000679,-117.6894626
1105 E Robertson Blvd,Chowchilla,CA,93610,37.12649042,-120.2475502
1327 Broadway,Chula Vista,CA,91911,32.60256053,-117.0782184
1361 Medical Center Drive,Chula Vista,CA,91911,32.61534855,-117.0268442
461 3rd Ave,Chula Vista,CA,91910,32.6358587,-117.0777089
7098 Auburn Boulevard,Citrus Heights,CA,95621,38.69410597,-121.2913824
1860 Ashlan Avenue,Clovis,CA,93611,36.79385477,-119.6810563
198 West Shaw Avenue,Clovis,CA,93612,36.80837406,-119.7132995
49950 Harrison St,Coachella,CA,92236,33.68759997,-116.1815147
451 E. Elm Avenue,Coalinga,CA,93210,36.14348387,-120.3568391
792 West Valley Blvd,Colton,CA,92324,34.06841758,-117.3353415
103 North Central Avenue,Compton,CA,90220,33.896374,-118.252106
221 South Long Beach Blvd,Compton,CA,90221,33.89462344,-118.2079985
4660 Clayton Road,Concord,CA,94521,37.96179442,-121.9847329
1151 W 6th St,Corona,CA,92882,33.8775129,-117.5852856
1300 E. Ontario Avenue,Corona,CA,92881,33.8461277,-117.5385629
100 B Ave,Coronado,CA,92118,32.69764077,-117.1701988
465 E 17th St,Costa Mesa,CA,92627,33.62940323,-117.9102356
1057 N. Grand Avenue,Covina,CA,91724,34.09895193,-117.8727393
9041 Valley View Street,Cypress,CA,90630,33.83108358,-118.0285533
2815 Geneva Avenue,Daly City,CA,94014,37.70684461,-122.4145039
287 Westmoor Ave,Daly City,CA,94015,37.68311365,-122.4882226
7199 Mission Street,Daly City,CA,94014,37.69373751,-122.4648299
1617 Research Park Dr,Davis,CA,95616,38.54027119,-121.7323443
812 Cecil Avenue,Delano,CA,93215,35.77584844,-119.2477834
13947 Palm Drive,Desert Hot Springs,CA,92240,33.94722725,-116.5014029
542 N. Diamond Bar Blvd,Diamond Bar,CA,91765,34.02974891,-117.8099692
333 Monte Vista Drive,Dinuba,CA,93618,36.54502431,-119.4042364
7865 East Florence Avenue,Downey,CA,90240,33.9547145,-118.1320593
1128 East Huntington Drive,Duarte,CA,91010,34.13950571,-117.9806957
6797 Village Parkway,Dublin,CA,94568,37.70647552,-121.9238415
2949 Jamacha Road,El Cajon,CA,92019,32.7397498,-116.940453
555 N 2nd St,El Cajon,CA,92021,32.80114601,-116.9356371
724 Fletcher Pky,El Cajon,CA,92020,32.80788803,-116.9716651
1775 South Imperial,El Centro,CA,92243,32.777327,-115.5694606
3814 North Peck Road,El Monte,CA,91732,34.07449876,-118.0225099
2330 Longport Court,Elk Grove,CA,95758,38.42538165,-121.4816503
8579 Elk Grove Boulevard,Elk Grove,CA,95624,38.4091999,-121.3855753
4501 San Pablo Avenue,Emeryville,CA,94608,37.83427784,-122.2810717
2429 East Valley Parkway,Escondido,CA,92027,33.14187084,-117.0420689
639 N. Broadway,Escondido,CA,92025,33.12781483,-117.0843227
2245 Broadway,Eureka,CA,95501,40.7873006,-124.1808097
8810 Madison Avenue,Fair Oaks,CA,95628,38.66389608,-121.229371
2263 N. Texas Street,Fairfield,CA,94533,38.27013632,-122.0342873
1077 S Mission Rd,Fallbrook,CA,92028,33.37354372,-117.2537778
2535 Iron Point Road,Folsom,CA,95630,38.64701175,-121.1175619
14570 Baseline Avenue,Fontana,CA,92336,34.12162395,-117.4865997
9758 Sierra Ave,Fontana,CA,92335,34.07666597,-117.4358342
17239 Brookhurst Street,Fountain Valley,CA,92708,33.7129778,-117.9546436
190 Francisco Lane,Fremont,CA,94539,37.49103794,-121.9277161
37123 Fremont Boulevard,Fremont,CA,94536,37.55981299,-122.0103037
4961 Mowry Avenue,Fremont,CA,94538,37.53721335,-121.9979546
1110 C Street,Fresno,CA,93706,36.72947636,-119.7992853
1904 West Olive,Fresno,CA,93728,36.75752695,-119.8338974
2031 North Blackstone Avenue,Fresno,CA,93703,36.76942484,-119.7907342
3218 East Jensen,Fresno,CA,93706,36.70658266,-119.7700828
3846 North West Avenue,Fresno,CA,93705,36.78709412,-119.8263527
4175 West Shaw,Fresno,CA,93722,36.80808313,-119.8667687
4909 East McKinley Avenue,Fresno,CA,93727,36.76531959,-119.7311844
4948 East Kings Canyon,Fresno,CA,93727,36.73579877,-119.7309452
5775 North 1st Street,Fresno,CA,93710,36.82228159,-119.7724141
7152 North Blackstone Avenue,Fresno,CA,93650,36.8401018,-119.790187
150 W. Orangethorpe Ave,Fullerton,CA,92832,33.8593695,-117.9263548
1889 West Malvern Ave,Fullerton,CA,92833,33.87795642,-117.9614116
10350 Twin Cities Road,Galt,CA,95632,38.29097438,-121.3099722
12042 Valley View Blvd,Garden Grove,CA,92845,33.78776691,-118.028351
12861 Harbor Blvd,Garden Grove,CA,92840,33.77601753,-117.9172866
8971 Westminster Ave,Garden Grove,CA,92844,33.75951874,-117.9729709
1078 Rosecrans Avenue,Gardena,CA,90247,33.90181018,-118.2932975
5884 Monterey Rd,Gilroy,CA,95020,36.98375349,-121.5570386
8080 Wren Ave,Gilroy,CA,95020,37.01478237,-121.5865972
200 N Verdugo Rd,Glendale,CA,91206,34.14811921,-118.2350858
5697 Calle Real,Goleta,CA,93117,34.44112257,-119.8232404
1983 Nevada City Hwy,Grass Valley,CA,95945,39.23712161,-121.0371266
412 N. Redington,Hanford,CA,93230,36.32885879,-119.6494232
11523 Hawthorne Blvd,Hawthorne,CA,90250,33.92941863,-118.3528809
1299 West Tennyson Road,Hayward,CA,94544,37.63148294,-122.0788316
31077 Mission Boulevard,Hayward,CA,94544,37.62030177,-122.0363428
2890 West Florida Avenue,Hemet,CA,92545,33.74744654,-117.0017965
3440 East Florida Avenue,Hemet,CA,92544,33.74781807,-116.9352121
16800 Main Street,Hesperia,CA,92345,34.42088241,-117.2964118
7347 Boulder Avenue,Highland,CA,92346,34.11982692,-117.1949976
191 McCray Street,Hollister,CA,95023,36.85489609,-121.3988587
19091 Brookhurst Street,Huntington Beach,CA,92646,33.68558389,-117.9542161
6100 West Warner Avenue,Huntington Beach,CA,92647,33.71532717,-118.0226817
8142 Talbert Ave,Huntington Beach,CA,92646,33.70110185,-117.9878308
3100 E Gage Ave,Huntington Park,CA,90255,33.98072189,-118.2126529
1056 13th St,Imperial Beach,CA,91932,32.57731165,-117.1058244
42750 A Jackson Street,Indio,CA,92203,33.74051611,-116.2164324
81769 US Highway 111,Indio,CA,92201,33.71148876,-116.2378404
2941 West Imperial Hwy,Inglewood,CA,90303,33.93105777,-118.3258734
15463 Culver Drive,Irvine,CA,92604,33.69505877,-117.8001865
531 Highway 49,Jackson,CA,95642,38.34355534,-120.7684901
157 South Madera,Kerman,CA,93630,36.7336453,-120.0603239
1300 Broadway Circle,King City,CA,93930,36.20355744,-121.1374775
450 North Harbor,La Habra,CA,90631,33.93559175,-117.9329263
13970 Imperial Highway,La Mirada,CA,90638,33.91695286,-118.034372
939 North Hacienda Blvd,La Puente,CA,91744,34.036876,-117.9500815
30071 Alicia Parkway,Laguna Niguel,CA,92677,33.52607807,-117.7175942
31257 Riverside Drive,Lake Elsinore,CA,92530,33.68283308,-117.3682832
321 Summerhill Drive,Lake Elsinore,CA,92532,33.66411809,-117.2986432
24541 Trabuco Road,Lake Forest,CA,92630,33.65463884,-117.7016165
1135 Lakeport Boulevard,Lakeport,CA,95453,39.03179064,-122.9250675
12061 Woodside Ave,Lakeside,CA,92040,32.85575859,-116.9323938
4917 Bellflower Blvd,Lakewood,CA,90713,33.8477956,-118.1252098
1827 E. Ave. J,Lancaster,CA,93535,34.68974319,-118.0963338
"43559 10th Street, West",Lancaster,CA,93534,34.67439187,-118.1480125
866 W Avenue I,Lancaster,CA,93534,34.70384951,-118.1475404
150 E. Louise Ave,Lathrop,CA,95330,37.8116575,-121.2929837
7012 Broadway,Lemon Grove,CA,91945,32.74262307,-117.0464648
1019 North Lemoore Avenue,Lemoore,CA,93245,36.31186247,-119.7809488
35 Lincoln Blvd,Lincoln,CA,95648,38.87165196,-121.2983648
6061 Northfront Road,Livermore,CA,94550,37.71174364,-121.7229103
18780 N Highway 88,Lockeford,CA,95237,38.15442946,-121.1555231
2712 W. Kettleman Lane,Lodi,CA,95242,38.11528717,-121.3091994
24866 Redlands Blvd,Loma Linda,CA,92354,34.06319114,-117.2620494
26715 Western Ave,Lomita,CA,90717,33.77856917,-118.3095794
1401 North H Street,Lompoc,CA,93436,34.66124451,-120.4578226
1601 East Seventh Street,Long Beach,CA,90813,33.77585788,-118.1718244
1601 West Willow Street,Long Beach,CA,90810,33.80448736,-118.214658
209 E. Pacific Coast Highway,Long Beach,CA,90806,33.78997138,-118.1905828
2970 Bellflower Boulevard,Long Beach,CA,90815,33.80881709,-118.1251282
4001 East Anaheim Street,Long Beach,CA,90804,33.7826735,-118.1453872
4528 Atlantic Avenue,Long Beach,CA,90807,33.84087687,-118.1840341
10501 W Pico Blvd,Los Angeles,CA,90064,34.04521858,-118.4191167
1148 W Manchester Ave,Los Angeles,CA,90044,33.95992687,-118.2957108
